rank	city	population_2011	population_2001	state_or_ut
1	Mumbai	12442373	11978450	Maharashtra
2	Delhi	11007835	9879172	Delhi
3	Bangalore	8425970	4301326	Karnataka
4	Hyderabad	6809970	3637483	Telangana
5	Ahmedabad	5570585	3520085	Gujarat
6	Chennai	4681087	4343645	Tamil Nadu
7	Kolkata	4486679	4572876	West Bengal
8	Surat	4467797	2433835	Gujarat
9	Pune	3115431	2538473	Maharashtra
10	Jaipur	3046163	2322575	Rajasthan
11	Lucknow	2815601	2185927	Uttar Pradesh
12	Kanpur	2767031	2551337	Uttar Pradesh
13	Nagpur	2405665	2052066	Maharashtra
14	Indore	1960631	1474968	Madhya Pradesh
15	Thane	1818872	1262551	Maharashtra
16	Bhopal	1795648	1437354	Madhya Pradesh
17	Visakhapatnam	1730320	1345938	Andhra Pradesh
18	Pimpri-Chinchwad	1727692	1012472	Maharashtra
19	Patna	1684222	1366444	Bihar
20	Vadodara	1670806	1306227	Gujarat
21	Ghaziabad	1648643	968256	Uttar Pradesh
22	Ludhiana	1618879	1398467	Punjab
23	Agra	1585704	1275134	Uttar Pradesh
24	Nashik	1486053	1077236	Maharashtra
25	Ranchi	1456528	1079968	Jharkhand
26	Faridabad	1414050	1055938	Haryana
27	Meerut	1305429	1039405	Uttar Pradesh
28	Rajkot	1286678	967476	Gujarat
29	Kalyan-Dombivli	1247327	1193512	Maharashtra
30	Vasai-Virar	1222390	693350	Maharashtra
31	Varanasi	1201815	1091918	Uttar Pradesh
32	Srinagar	1180570	898440	Jammu and Kashmir
33	Aurangabad	1175116	873311	Maharashtra
34	Dhanbad	1162472	1065327	Jharkhand
35	Amritsar	1132383	966862	Punjab
36	Navi Mumbai	1120547	704002	Maharashtra
37	Allahabad	1112544	975393	Uttar Pradesh
38	Howrah	1077075	1007532	West Bengal
39	Gwalior	1069276	827026	Madhya Pradesh
40	Jabalpur	1055525	932484	Madhya Pradesh
41	Coimbatore	1050721 	930882	Tamil Nadu
42	Vijayawada	1034358	851282	Andhra Pradesh
43	Jodhpur	1033918	851051	Rajasthan
44	Madurai	1017865	928869	Tamil Nadu
45	Raipur	1010087	605747	Chhattisgarh
46	Kota	1001694	694316	Rajasthan
47	Chandigarh	960787	808515	Chandigarh
48	Guwahati	957352	809895	Assam
49	Solapur	951558	872478	Maharashtra
50	Hubli–Dharwad	943788	786195	Karnataka
51	Mysore	920550	762408	Karnataka
52	Tiruchirappalli	916674	752066	Tamil Nadu
53	Bareilly	898167	718395	Uttar Pradesh
54	Aligarh	889810	672315	Uttar Pradesh
55	Tiruppur	877778	344543	Tamil Nadu
56	Gurgaon	876824	173542	Haryana
57	Moradabad	872575	669087	Uttar Pradesh
58	Jalandhar	862196	706043	Punjab
59	Bhubaneswar	837737	648032	Odisha
60	Salem	831038	696760	Tamil Nadu
61	Warangal	830281	530636	Telangana
62	Mira-Bhayandar	814655	520388	Maharashtra
63	Jalgaon	798514	462280	Maharashtra
64	Guntur	670073	514461	Andhra Pradesh
65	Thiruvananthapuram	752490	368618	Kerala
66	Bhiwandi	711329	598741	Maharashtra
67	Saharanpur	703345	455754	Uttar Pradesh
68	Gorakhpur	671048	622701	Uttar Pradesh
69	Bikaner	647804	529690	Rajasthan
70	Amravati	646801	549510	Maharashtra
71	Noida	642381	305058	Uttar Pradesh
72	Jamshedpur	631364	573096	Jharkhand
73	Bhilai	625697	556366	Chhattisgarh
74	Cuttack	606007	534654	Odisha
75	Firozabad	603797	279102	Uttar Pradesh
76	Kochi	601574	596473	Kerala
77	Nellore	558548	378428	Andhra Pradesh
78	Bhavnagar	593768	511085	Gujarat
79	Dehradun	578420	426674	Uttarakhand
80	Durgapur	566937	493405	West Bengal
81	Asansol	564491	475439	West Bengal
82	Rourkela	552734	426354	Odisha
83	Nanded	550564	430733	Maharashtra
84	Kolhapur	549283	493167	Maharashtra
85	Ajmer	542580	485575	Rajasthan
86	Akola	537149	400520	Maharashtra
87	Gulbarga	532031	422569	Karnataka
88	Jamnagar	529308	443518	Gujarat
89	Ujjain	515215	430427	Madhya Pradesh
90	Loni	512296	120945	Uttar Pradesh
91	Siliguri	509709	472374	West Bengal
92	Jhansi	507293	383644	Uttar Pradesh
93	Ulhasnagar	506937	473731	Maharashtra
94	Jammu	503690	369959	Jammu and Kashmir
95	Sangli-Miraj & Kupwad	502697	436781	Maharashtra
96	Mangalore	499486	399565	Karnataka
97	Erode	498129	173600	Tamil Nadu
