metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	34.4	36.7	40.6	42.8	45.0	43.3	41.1	40.0	38.9	39.4	35.4	33.0	45.0 
Average high °C	29.3	30.9	32.9	34.5	37.1	37.0	35.3	34.7	34.2	32.1	29.9	28.9	33.1 
Daily mean °C	25.2	26.6	28.7	30.9	32.9	32.4	30.9	30.3	29.8	28.4	26.5	25.3	29.0 
Average low °C	21.2	22.2	24.2	26.6	28.0	27.5	26.4	25.9	25.6	24.6	23.1	21.9	24.8 
Record low °C	13.9	15.0	16.7	20.0	21.1	20.6	21.0	20.5	20.6	16.7	15.0	13.9	13.9 
Average rainfall mm	25.9	3.4	3.5	14.4	34.2	55.8	103.8	126.8	147.7	315.6	399.9	177.4	1,382.9 
Average rainy days	1.4	0.8	0.3	0.8	1.8	4.0	6.5	7.7	7.3	10.9	11.5	5.8	58.8
Average relative humidity	67	66	67	70	68	63	65	66	71	76	76	71	69
Mean monthly sunshine hours	232.5	240.1	291.4	294.0	300.7	234.0	142.6	189.1	195.0	257.3	261.0	210.8	2,848.5
Mean daily sunshine hours	7.5	8.5	9.4	9.8	9.7	7.8	4.6	6.1	6.5	8.3	8.7	6.8	7.8
