metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	19.0	19.2	24.0	27.0	25.7	27.7	28.0	28.5	27.5	26.0	24.5	20.0	28.5 
Mean maximum °C	15.1	15.8	19.8	22.4	22.6	22.7	22.4	22.8	23.2	22.7	20.7	17.4	24.4 
Average high °C	10.7	12.4	15.6	18.5	19.3	19.8	19.6	20.0	19.8	19.5	17.1	14.0	17.2 
Daily mean °C	6.1	7.7	10.6	13.7	14.9	16.3	16.5	16.7	16.1	15.0	11.7	8.9	12.9 
Average low °C	1.5	2.9	5.7	8.8	10.6	12.8	13.4	13.4	12.4	10.5	6.3	3.8	8.5 
Mean minimum °C	−0.5	0.7	2.7	5.4	7.4	10.3	11.4	11.9	10.6	8.0	3.9	1.2	−0.1 
Record low °C	−7.2	−6.4	−4.8	0.0	1.4	6.6	3.9	8.0	6.2	3.2	−4.4	−4.6	−7.2 
Average rainfall mm	13.5	14.0	30.8	76.9	137.9	466.0	656.7	528.2	379.7	59.1	14.4	2.9	2,380 
Average rainy days	1.1	1.5	2.8	6.8	10.5	18.8	22.9	21.7	14.9	2.9	0.6	0.7	105.3
Average relative humidity	81	78	75	78	88	93	94	92	90	84	75	74	84
Mean monthly sunshine hours	167.4	141.3	145.7	147.0	151.9	72.0	77.5	102.3	96.0	167.4	189.0	189.1	1,646.6
Mean daily sunshine hours	5.4	5.0	4.7	4.9	4.9	2.4	2.5	3.3	3.2	5.4	6.3	6.1	4.5
Average ultraviolet index	5	6	9	11	13	15	15	14	12	9	6	4	10
