metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	32.4	34.1	40.6	45.6	47.2	46.7	45.0	42.0	40.6	39.4	36.1	30.0	47.2 
Mean maximum °C	25.5	29.1	35.3	41.3	43.7	43.8	39.7	37.4	37.1	36.0	32.2	27.0	44.5 
Average high °C	20.5	23.9	29.6	36.3	39.5	39.2	35.4	34.1	34.1	32.8	28.2	23.1	31.4 
Daily mean °C	14.1	17.4	22.7	28.9	32.7	33.2	31.4	30.3	29.6	26.0	20.5	15.5	25.2 
Average low °C	7.6	10.4	15.6	21.3	25.8	27.9	27.4	26.6	25.0	19.1	12.9	8.3	19.0 
Mean minimum °C	4.1	6.1	10.7	16.0	20.8	22.3	24.0	23.6	21.7	14.7	8.6	4.6	3.6 
Record low °C	-0.6	1.6	4.4	10.7	15.2	17.6	20.3	20.7	17.3	9.4	3.9	0.0	-0.6 
Average rainfall mm	19.3	22.1	15.9	13.0	31.5	82.2	187.3	232.5	129.8	14.3	4.9	9.4	762.3 
Average rainy days	1.3	1.8	1.6	1.2	2.5	4.6	9.4	9.8	5.5	1.0	0.5	0.9	40.1
Average relative humidity	52	42	35	23	26	39	62	66	58	44	48	54	45
Mean monthly sunshine hours	220.1	223.2	248.0	276.0	285.2	219.0	179.8	176.7	219.0	260.4	246.0	220.1	2,773.5
Mean daily sunshine hours	7.1	7.9	8.0	9.2	9.2	7.3	5.8	5.7	7.3	8.4	8.2	7.1	7.6
