metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	35.9	39.1	42.2	43.3	44.5	45.5	37.4	36.2	36.1	36.7	34.0	34.2	45.5 
Average high °C	29.3	32.4	35.9	38.1	39.4	34.9	31.3	30.1	31.1	31.0	29.6	28.7	32.7 
Daily mean °C	22.7	25.3	28.6	31.3	33.0	29.7	27.0	26.2	26.7	25.8	23.7	21.9	26.8 
Average low °C	15.9	18.3	21.5	24.4	26.3	24.2	22.8	22.2	22.3	20.6	17.4	15.1	20.9 
Record low °C	6.1	8.9	13.2	16.0	16.7	17.8	18.6	18.7	17.8	11.7	7.4	7.1	6.1 
Average rainfall mm	9.3	9.2	17.8	21.7	31.7	111.2	179.2	207.0	132.9	103.6	26.1	4.9	854.6 
Average rainy days	0.6	0.5	1.1	1.8	2.4	6.9	10.0	11.5	7.6	5.5	1.6	0.4	49.9
Average relative humidity	40	32	28	28	30	51	64	69	65	56	48	43	46
Mean monthly sunshine hours	272.8	265.6	272.8	276.0	279.0	180.0	136.4	133.3	162.0	226.3	243.0	251.1	2698.3
Mean daily sunshine hours	8.8	9.4	8.8	9.2	9.0	6.0	4.4	4.3	5.4	7.3	8.1	8.1	7.4
