metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	32.8	38.4	41.1	43.3	43.7	43.9	39.9	38.4	38.9	39.0	34.9	32.5	43.9 
Mean maximum °C	29.8	33.5	37.4	38.5	38.8	38.0	35.9	35.0	35.3	35.1	32.9	29.8	39.8 
Average high °C	25.8	29.2	33.5	35.3	35.3	33.8	32.4	32.2	32.4	32.2	30.1	27.0	31.6 
Daily mean °C	20.0	23.6	28.0	30.4	30.9	30.4	29.4	29.3	29.2	28.1	25.0	21.2	27.1 
Average low °C	14.1	17.8	22.4	25.3	26.4	26.8	26.5	26.4	26.0	24.1	19.7	15.2	22.6 
Mean minimum °C	10.7	12.9	17.6	20.4	21.5	23.7	24.3	24.4	23.8	20.6	15.4	11.8	10.4 
Record low °C	6.7	7.2	10.0	16.1	17.9	20.4	20.6	22.6	20.6	17.2	10.6	7.2	6.7 
Average rainfall mm	10.4	20.9	35.2	58.9	133.1	300.6	396.0	344.5	318.1	180.5	35.1	3.2	1836.5 
Average rainy days	1.1	1.7	2.2	3.4	7.0	12.8	17.7	16.9	13.9	7.4	1.3	0.5	85.9
Average relative humidity	61	54	51	62	68	77	82	83	82	75	67	65	69
Mean monthly sunshine hours	213.9	211.9	229.4	240.0	232.5	135.0	105.4	117.8	126.0	201.5	216.0	204.6	2234
Mean daily sunshine hours	6.9	7.5	7.4	8.0	7.5	4.5	3.4	3.8	4.2	6.5	7.2	6.6	6.1
Average ultraviolet index	6	7	10	11	12	13	13	13	12	9	7	5	10
