metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	37.0	38.3	41.7	40.6	39.7	37.2	35.6	33.8	35.6	39.5	38.4	36.7	41.7 
Mean maximum °C	34.4	34.9	35.8	35.1	35.4	35.0	32.1	31.7	32.7	36.4	36.3	35.3	37.6 
Average high °C	30.2	30.2	31.5	32.7	33.8	32.2	30.0	29.7	30.6	33.0	33.5	32.2	31.6 
Daily mean °C	24.9	25.3	27.1	28.9	30.5	29.3	27.8	27.4	27.8	28.9	28.4	26.5	27.7 
Average low °C	19.3	20.2	22.7	25.0	27.1	26.5	25.4	25.1	25.0	24.8	23.2	20.9	23.8 
Mean minimum °C	16.0	17.1	20.0	22.9	25.0	23.3	23.3	23.3	23.1	22.8	20.7	17.7	15.6 
Record low °C	11.7	11.7	16.3	20.0	22.8	21.1	21.7	21.7	20.0	20.6	17.8	12.8	11.7 
Average rainfall mm	0.9	0.2	0.4	0.5	20.2	530.2	711.6	493.8	330.4	78.4	14.9	2.6	2184.1 
Average rainy days	0.1	0.0	0.1	0.1	0.7	13.8	21.2	19.7	13.4	3.4	0.5	0.1	73.2
Average relative humidity	62	62	63	66	68	77	85	84	80	72	65	63	71
Mean monthly sunshine hours	282.1	271.2	282.1	279.0	272.8	138.0	80.6	77.5	147.0	238.7	267.0	275.9	2611.9
Mean daily sunshine hours	9.1	9.6	9.1	9.3	8.8	4.6	2.6	2.5	4.9	7.7	8.9	8.9	7.2
