metric	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C	32.5	33.2	38.1	41.7	40.8	39.6	40.4	40.0	39.2	36.6	33.8	32.6	41.7 
Mean maximum °C	25.6	27.9	32.8	34.9	35.3	36.3	36.0	36.7	35.8	33.5	30.4	27.2	37.0 
Average high °C	23	25	29	32	32	31	31	32	31	30	27	25	29 
Average low °C	10	12	15	20	22	24	25	25	24	21	15	11	19 
Mean minimum °C	6.9	7.2	12.5	16.5	18.6	22.0	23.4	23.6	21.9	16.8	11.9	7.7	6.5 
Record low °C	1.9	3.5	6.2	9.6	15.0	20.0	21.0	18.4	19.8	12.3	6.4	2.4	1.9 
Average precipitation mm	12	28	48	99	300	658	804	640	549	156	25	20	3339 
Average rainy days	1	3	3	8	18	20	27	26	16	8	3	1	134
Average relative humidity	76	70	62	79	83	89	92	86	82	75	69	76	78
Average ultraviolet index	5	7	9	11	12	13	14	13	11	8	5	4	9
